PLANT_NAME,MATERIAL_NAME,BATCH_NUMBER,Max_Capacity,OUT_MT,OUT_RATE_%,IN_MT,IN_MT_PER_MONTH,UNRESTRICTED_STOCK,PREDCITED_OUTBOUND_NEXT_MONTH,PREDCITED_TOTAL_OUTBOUND_NEXT_MONTH,NEXT_MONTH_STOCK,OVER_SUPPLY,IS_OVER_SUPPLY,WAREHOUSE_OVERFLOW,DESERVED_SPACE_RATIO,DESERVED_STOCK_MT,OVER_DESERVED,RISK_OVERFLOW
CHINA-WAREHOUSE,MAT-0001,"['V6661A', 'V1821A', 'V1214A', 'V8768A', 'V4876A', 'V5763A', 'V7566A', 'V3227A']",70000.0,8117.04,11.595771428571428,7981.5,725.5909090909091,520.325,489.74892499689787,21800.0,1245.9159090909093,235.84198409401125,True,True,0.022465547018206324,1572.5882912744428,-326.6723821835335,False
CHINA-WAREHOUSE,MAT-0002,"['N2666A', 'N5378A']",70000.0,414.05,0.5915,420.75,38.25,7.875,172.6379544721039,21800.0,46.125,-134.3879544721039,False,True,0.007919172223491004,554.3420556443702,-508.21705564437025,False
CHINA-WAREHOUSE,MAT-0003,"['8045', '3882', '2397', '5767']",70000.0,73.37,0.10481428571428573,78.336,7.1214545454545455,117.504,0.0,21800.0,124.62545454545455,7.1214545454545455,True,True,0.0,0.0,124.62545454545455,True
CHINA-WAREHOUSE,MAT-0004,[],70000.0,5.93,0.00847142857142857,0.0,0.0,0.0,0.0,21800.0,0.0,0.0,False,True,0.0,0.0,0.0,False
CHINA-WAREHOUSE,MAT-0005,[],70000.0,0.03,4.2857142857142856e-05,0.0,0.0,0.0,0.0,21800.0,0.0,0.0,False,True,0.0,0.0,0.0,False
CHINA-WAREHOUSE,MAT-0007,"['5785A9734', '8816A4375', '8553A8998', '3724A7129', '5037A1027', '1838A1145']",70000.0,2286.68,3.2666857142857144,1743.5,158.5,154.225,297.7668063600757,21800.0,312.725,-139.2668063600757,False,True,0.01365902781468237,956.1319470277659,-643.4069470277659,False
CHINA-WAREHOUSE,MAT-0008,['V7045A'],70000.0,0.13,0.00018571428571428572,0.0,0.0,0.0,0.0,21800.0,0.0,0.0,False,True,0.0,0.0,0.0,False
CHINA-WAREHOUSE,MAT-0009,"['2017A', '1535A', '4318A', '3397A', '6971A', '1105A', '4679A', '6392A', '9283A', '1557A', '2992A', '1871A', '1403A', '8519A', '1454A', '8006A', '5836A', '7701A', '2901A', '5435A', '3874A', '1317A', '2470A', '1290A', '2772A', '9554A', '1012A', '5567A', '6874A', '5373A', '9468A', '5585A', '3400A', '6558A', '3415A', '8540A', '2933A', '3914A', '5141A', '6618A', '9856A', '3161A', '1166A', '2733A', '9098A', '3476A']",70000.0,1539.2,2.198857142857143,312.638,28.421636363636363,297.7,0.0,21800.0,326.12163636363636,28.421636363636363,True,True,0.0,0.0,326.12163636363636,True
CHINA-WAREHOUSE,MAT-0011,"['M3807B', 'M6259B', 'M8953A', 'M5665B', 'M3037B']",70000.0,22.81,0.03258571428571428,222.75,20.25,199.825,3.023645680167607,21800.0,220.075,17.226354319832392,True,True,0.00013869934312695444,9.70895401888681,210.3660459811132,True
CHINA-WAREHOUSE,MAT-0012,['7481A2465'],70000.0,11.0,0.015714285714285712,24.75,2.25,13.75,0.0,21800.0,16.0,2.25,True,True,0.0,0.0,16.0,True
CHINA-WAREHOUSE,MAT-0013,"['V2524A', 'V2475A']",70000.0,1854.12,2.648742857142857,1735.5,157.77272727272728,112.25,178.8592606481282,21800.0,270.02272727272725,-21.086533375400933,False,True,0.008204553240739825,574.3187268517878,-304.29599957906055,False
CHINA-WAREHOUSE,MAT-0014,[],70000.0,0.22,0.00031428571428571427,0.0,0.0,0.0,0.0,21800.0,0.0,0.0,False,True,0.0,0.0,0.0,False
